year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_growth,gni_usd,national_income_growth,national_income_usd
1976,South Africa,2.25,36603349970.17,4.73,1677275419.32,2161.07,2.25,35101449971.39,-1.78,28804753004
1976,China,-1.57,153940455341.51,,,537.17,,153940455341.51,,1.29302E+11
1976,World,5.30,6490818872059.42,3.67,,1421.10,,6500041039335.27,4.89,5.36147E+12
1977,Germany,3.35,600498238019.04,3.04,16288883939.32,4336.09,3.26,602462989977.26,3.21,5.11881E+11
1977,France,3.46,410279486493.72,3.23,12634633832.55,3172.81,3.40,411210216635.46,2.73,3.5169E+11
1977,Italy,2.56,257596313364.06,1.89,4556493517.89,2204.18,2.67,258296787360.11,3.26,2.23715E+11
1977,Japan,4.39,721411786536.81,0.89,6157312576.81,2899.68,4.42,721805862455.78,4.84,6.00309E+11
1977,Canada,,211612157028.68,1.81,3752174526.31,7431.44,,207884725905.03,1.79,1.74392E+11
1977,Russian Federation,,,,,,,,,
1977,United States,4.62,2081826000000.00,5.16,104665218971.63,8285.57,4.70,2082670000000.00,4.05,1.75381E+12
1977,United Kingdom,2.46,263066457352.17,4.92,12952124605.68,3695.38,1.96,286191632653.06,0.64,2.43349E+11
1977,Brazil,4.93,176344101401.94,1.69,2499644658.36,878.91,4.76,173253413561.89,6.02,1.58646E+11
1977,India,7.25,121487322474.30,3.16,3477080944.50,281.95,7.28,121215205685.98,7.22,1.09719E+11
1977,Mexico,3.39,81814159292.04,0.53,437692985.84,1088.62,3.23,79585539823.01,0.72,71128931589
1977,South Africa,-0.09,40651349966.87,5.26,2073738018.43,2152.22,-0.26,38913699968.29,-0.70,31631185822
1977,China,7.57,174938098826.57,,,577.21,,174938098826.57,,1.47164E+11
1977,World,4.08,7341425175460.21,3.75,,1445.22,,7344291431305.61,3.50,6.03841E+12
1978,Germany,3.01,740469983446.93,3.05,20159786212.05,4483.88,3.32,745553903602.73,4.23,6.33755E+11
1978,France,3.98,506707848837.21,3.15,15852894822.59,3369.34,4.08,508321220930.23,4.81,4.33862E+11
1978,Italy,3.24,315058323066.39,1.88,5540992657.96,2247.57,3.27,316003465662.79,3.90,2.74652E+11
1978,Japan,5.27,1013612173518.84,0.89,8657135932.94,2897.96,5.35,1015018234693.98,6.49,8.51897E+11
1978,Canada,,218632867537.48,1.85,3969158477.04,7561.74,,213974919786.10,2.72,1.79698E+11
1978,Russian Federation,,,,,,,,,
1978,United States,5.54,2351599000000.00,4.94,113382063749.09,8438.40,5.47,2349856000000.00,5.12,1.98284E+12
1978,United Kingdom,4.20,335883029721.96,4.73,15897336095.54,3675.44,4.33,363945488015.34,4.93,3.09005E+11
1978,Brazil,4.97,200278646123.58,1.60,2690623101.76,913.32,4.29,196080790936.19,1.80,1.7921E+11
1978,India,5.71,137300295308.04,3.13,3975819129.87,279.38,5.80,137110195139.87,4.78,1.24225E+11
1978,Mexico,8.96,102500000000.00,0.50,518287192.60,1186.65,8.82,99570083333.33,7.66,88633058319
1978,South Africa,3.01,46739449961.91,4.56,2067988017.00,2218.84,3.04,44786749963.50,4.91,36402587951
1978,China,11.33,149540752829.27,,,617.15,,149540752829.27,,1.26183E+11
1978,World,4.11,8646230866561.90,3.57,,1476.55,,8648133558165.49,4.52,7.16093E+12
1979,Germany,4.15,881345176608.69,2.96,23323130253.41,4685.30,3.95,884770610393.77,2.59,7.50264E+11
1979,France,3.55,613953129818.07,3.14,19040482589.11,3495.90,3.67,616651248843.66,3.15,5.25453E+11
1979,Italy,5.96,393677161500.82,1.87,6904107162.83,2340.04,6.24,395900358890.70,6.25,3.4584E+11
1979,Japan,5.48,1055012119526.33,0.91,9173587660.86,3043.53,5.59,1057436616546.50,3.05,8.81692E+11
1979,Canada,,243072102612.26,1.71,4084145737.65,7862.21,,237297467987.02,-0.17,1.93715E+11
1979,Russian Federation,,,,,,,,,
1979,United States,3.17,2627333000000.00,4.95,126879927116.76,8327.04,3.46,2614202000000.00,-0.63,2.14531E+12
1979,United Kingdom,3.75,438994070309.19,4.68,20544684886.40,3858.98,3.55,470754495976.28,1.27,3.94449E+11
1979,Brazil,6.76,221338204480.22,1.52,2829161199.58,948.40,6.39,218945212519.06,7.17,1.9914E+11
1979,India,-5.24,152991653792.86,3.26,4589738351.59,285.54,-5.00,153181094632.84,-2.67,1.37832E+11
1979,Mexico,9.70,134561403508.77,0.51,679663588.45,1269.81,9.49,130466105263.16,6.84,1.13004E+11
1979,South Africa,3.79,57645721018.03,3.86,2160867339.73,2234.70,3.84,55306116361.86,3.05,43932061087
1979,China,7.59,178280594413.04,,,619.04,,178280594413.04,,1.43551E+11
1979,World,4.19,10042590469890.20,3.50,,1493.38,,10016387262674.00,1.76,8.12282E+12
1980,Germany,1.41,950290856466.54,2.96,25125769751.65,4562.30,1.45,954146081342.80,-0.79,8.04502E+11
1980,France,1.58,701288419745.42,3.16,22198183002.42,3476.52,1.87,706460726482.46,-0.29,5.97954E+11
1980,Italy,3.43,477256775943.93,1.76,7915696625.50,2318.43,3.51,480255724621.30,1.21,4.14163E+11
1980,Japan,2.82,1105385973763.87,0.91,9711741590.63,2949.50,2.70,1106180713837.12,0.17,9.19366E+11
1980,Canada,,273853826548.07,1.76,4744402251.07,7828.84,,267380993841.94,1.29,2.16779E+11
1980,Russian Federation,,,,,,,,,
1980,United States,-0.26,2857307000000.00,5.15,143688354872.68,7942.25,-0.28,2847055000000.00,-2.29,2.301E+12
1980,United Kingdom,-2.03,564947710899.37,5.02,28360159219.72,3523.65,-2.28,600547246107.37,-1.47,4.99099E+11
1980,Brazil,9.20,237393489892.64,1.14,2259307478.86,943.30,8.59,227299903221.93,5.26,2.0421E+11
1980,India,6.74,186325345089.75,3.13,5420809519.09,286.16,6.85,186762452326.73,8.92,1.69164E+11
1980,Mexico,9.23,205139086956.52,0.42,810422203.83,1403.67,8.88,198701734782.61,14.68,1.70466E+11
1980,South Africa,6.62,82980483387.95,3.30,2661671164.84,2289.56,6.45,79654998273.53,10.15,61673285911
1980,China,7.83,191149211575.00,,,609.46,,191149211575.00,,1.48682E+11
1980,World,1.81,11321396246860.50,3.52,366321473567.04,1454.89,,11261154606287.00,0.28,9.05349E+12
1981,Germany,0.53,800472055387.28,3.04,21738730858.15,4399.50,0.45,802340951103.42,-1.78,6.70683E+11
1981,France,1.07,615552202776.10,3.25,20047753849.35,3379.17,0.96,619460470730.24,-0.49,5.22146E+11
